fen,move,score,outcome
rnb1nr1k/p1p4p/3b1p2/6R1/1PP5/3KP2P/1B4B1/1N4NR b - - 1 22,c7c6,130,0.5
rnb1nr1k/p6p/2pb1p2/6R1/1PP5/3KP2P/1B4B1/1N4NR w - - 0 22,b2f6,0,0.5
rnb1nr1k/p6p/2pb1B2/6R1/1PP5/3KP2P/6B1/1N4NR b - - 0 23,e8f6,0,0.5
rnb2r1k/p6p/2pb1n2/6R1/1PP5/3KP2P/6B1/1N4NR w - - 0 23,d3d4,0,0.5
rnb2r1k/p6p/2pb1n2/6R1/1PPK4/4P2P/6B1/1N4NR b - - 1 24,c8h3,0,0.5
rn3r1k/p6p/2pb1n2/6R1/1PPK4/4P2b/6B1/1N4NR w - - 0 24,g5g6,0,0.5
rn3r1k/p6p/2pb1nR1/8/1PPK4/4P2b/6B1/1N4NR b - - 1 25,h3g2,-200,0.5
rn3r1k/p6p/2pb1nR1/8/1PPK4/4P3/6b1/1N4NR w - - 0 25,g6f6,-410,0.5
rn3r1k/p6p/2pb1R2/8/1PPK4/4P3/6b1/1N4NR b - - 0 26,g2h1,-310,0.5
rn3r1k/p6p/2pb1R2/8/1PPK4/4P3/8/1N4Nb w - - 0 26,f6d6,-410,0.5
rn3r1k/p6p/2pR4/8/1PPK4/4P3/8/1N4Nb b - - 0 27,h7h5,-280,0.5
rn3r1k/p7/2pR4/7p/1PPK4/4P3/8/1N4Nb w - h6 0 27,e3e4,-280,0.5
rn3r1k/p7/2pR4/7p/1PPKP3/8/8/1N4Nb b - - 0 28,h1e4,-280,0.5
rn3r1k/p7/2pR4/7p/1PPKb3/8/8/1N4N1 w - - 0 28,d6f6,-110,0.5
rn3r1k/p7/2p2R2/7p/1PPKb3/8/8/1N4N1 b - - 1 29,b8d7,-280,0.5
r4r1k/p2n4/2p2R2/7p/1PPKb3/8/8/1N4N1 w - - 2 29,f6f8,-280,0.5
r4R1k/p2n4/2p5/7p/1PPKb3/8/8/1N4N1 b - - 0 30,d7f8,-280,0.5
r4n1k/p7/2p5/7p/1PPKb3/8/8/1N4N1 w - - 0 30,d4e4,-280,0.5
r4n1k/p7/2p5/7p/1PP1K3/8/8/1N4N1 b - - 0 31,h5h4,-280,0.5
r4n1k/p7/2p5/8/1PP1K2p/8/8/1N4N1 w - - 0 31,b4b5,-280,0.5
r4n1k/p7/2p5/1P6/2P1K2p/8/8/1N4N1 b - - 0 32,c6b5,-280,0.5
r4n1k/p7/8/1p6/2P1K2p/8/8/1N4N1 w - - 0 32,c4b5,-280,0.5
r4n1k/p7/8/1P6/4K2p/8/8/1N4N1 b - - 0 33,a7a6,-280,0.5
r4n1k/8/p7/1P6/4K2p/8/8/1N4N1 w - - 0 33,b5a6,-280,0.5
r4n1k/8/P7/8/4K2p/8/8/1N4N1 b - - 0 34,a8a6,-280,0.5
5n1k/8/r7/8/4K2p/8/8/1N4N1 w - - 0 34,b1d2,-280,0.5
5n1k/8/r7/8/4K2p/8/3N4/6N1 b - - 1 35,f8e6,-280,0.5
7k/8/r3n3/8/4K2p/8/3N4/6N1 w - - 2 35,d2f3,-180,0.5
7k/8/r3n3/8/4K2p/5N2/8/6N1 b - - 3 36,e6c7,-180,0.5
7k/2n5/r7/8/4K2p/5N2/8/6N1 w - - 4 36,g1e2,-280,0.5
7k/2n5/r7/8/4K2p/5N2/4N3/8 b - - 5 37,c7e6,-180,0.5
7k/8/r3n3/8/4K2p/5N2/4N3/8 w - - 6 37,f3h4,-180,0.5
7k/8/r3n3/8/4K2N/8/4N3/8 b - - 0 38,e6c5,-180,0.5
7k/8/r7/2n5/4K2N/8/4N3/8 w - - 1 38,e4e3,-180,0.5
7k/8/r7/2n5/7N/4K3/4N3/8 b - - 2 39,c5b3,-180,0.5
7k/8/r7/8/7N/1n2K3/4N3/8 w - - 3 39,e2g1,-180,0.5
